id,code_pddikti,name,abbreviaton,country,bentuk_pendidikan,korwil_scope,lldikti_scope,website,alamat,description,sinta_score_v2_overall,sinta_score_v2_3year,sinta_score_v2_productivity_overall,sinta_score_v2_productivity_3year,sinta_score_v3_overall,sinta_score_v3_3year,sinta_score_v3_productivity_overall,sinta_score_v3_productivity_3year,province.id,province.code,province.name,city.id,city.code,city.name,pddikti_province.id,pddikti_province.name,pddikti_city.id,pddikti_city.name
384,001001,Universitas Gadjah Mada,UGM,ID,Universitas,,,www.ugm.ac.id,Bulaksumur,"Gadjah Mada  is an Indonesian public ivy league research university located in Yogyakarta, Indonesia, founded on December 19, 1949. UGM is the oldest and largest institution of higher learning in Indonesia. Located in Yogyakarta, Indonesia, the 360 acre university comprises of 18 faculties, 68 undergraduate study programs,  23 diploma study programs, 104 master and spesialist study program, and 43 Doctorate  study programs.     It has approximately 55,000 students, 1,187 foreign students and 2,500 faculty members currently. Universitas Gadjah Mada has been considered to be one of the most prestigious universities in Indonesia.    UGM is implementing an educopolis area, a step taken by universities in creating conducive environment for the continuity of the learning process. These efforts are pursued in the context of developing multidisciplinary collaborations and responding to ecological issues in order to achieve the vision of the university.  Some of the steps are reducing pollution and vehicle exhaust emissions, development of pedestrian, restriction of vehicles entering the campus, construction of new dormitories on the campus, development of parking pockets, planting the trees green and many more.    The Special Region of Yogyakarta of where UGM is located, is one of the smallest provinces in Indonesia and has been widely known as a center of Javanese culture as well as a center of learning. It has 3,400,000 inhabitants, 511,000 of whom reside in the city of Yogyakarta. Its designation as a center of learning is marked by the existence of 120 state and private tertiary educational institutions, with a student population of over 300,000.",1290787,418505,469.55,152.24,4280396.7675,1230039.161,6071.48,1744.74,14,34,DAERAH ISTIMEWA YOGYAKARTA,226,34.04,KAB. SLEMAN,040000,Prov. D.I. Yogyakarta,040207,Kec. Depok
430,001002,Universitas Indonesia,UI,ID,Universitas,3,,www.ui.ac.id,Jalan Salemba Raya 4,,1697897,578672,823.02,280.5,3134057.5335,1105741.412,1560.79,550.67,11,31,DKI JAKARTA,156,31.71,KOTA ADM. JAKARTA PUSAT,010000,Prov. D.K.I. Jakarta,016000,Kota Jakarta Pusat
428,002003,Institut Pertanian Bogor,IPB,ID,Institut,3,,www.ipb.ac.id,"Jl. Raya Darmaga Kampus IPB Darmaga Bogor 16680  Jawa Barat, Indonesia",,913184,288050,674.93,212.9,3079898.8525,1135498.6245,2326.21,857.63,12,32,JAWA BARAT,161,32.01,KAB. BOGOR,020000,Prov. Jawa Barat,020500,Kab. Bogor
380,001004,Universitas Airlangga,UNAIR,ID,Universitas,,,www.unair.ac.id,Kampus C Mulyorejo,,797447,449277,488.93,275.46,2635268.6045,1179067.189,1661.58,743.42,15,35,JAWA TIMUR,264,35.78,KOTA SURABAYA,050000,Prov. Jawa Timur,056009,Kec. Mulyorejo
379,002001,Institut Teknologi Bandung,ITB,ID,Institut,4,,https://www.itb.ac.id/,"Kantor:  Jl. Tamansari 64 Bandung 40116,    Kampus:  Jl. Ganesha 10 Bandung 4013",,1271345,283318,864.27,192.6,2332537.8,637609.272,1668.48,456.09,12,32,JAWA BARAT,181,32.73,KOTA BANDUNG,020000,Prov. Jawa Barat,026000,Kota Bandung
6,001008,Universitas Diponegoro,UNDIP,ID,Universitas,4,,www.undip.ac.id,"Jl Prof H Soedarto, SH Kampus Tembalang",,660635,266863,401.11,162.03,1903071.889,603552.009,1206.77,382.72,13,33,JAWA TENGAH,220,33.74,KOTA SEMARANG,030000,Prov. Jawa Tengah,036307,Kec. Tembalang
481,001007,Universitas Padjadjaran,Unpad,ID,Universitas,,,www.unpad.ac.id,Jalan Raya Bandung Sumedang KM 21 Jatinangor,,663242,293249,351.48,155.4,1891770.653,651419.73,1112.81,383.19,12,32,JAWA BARAT,171,32.11,KAB. SUMEDANG,020000,Prov. Jawa Barat,021000,Kab. Sumedang
417,002002,Institut Teknologi Sepuluh Nopember,ITS Surabaya,ID,Institut,7,,www.its.ac.id,Kampus ITS Sukolilo,"Institut Teknologi Sepuluh Nopember berawal dari pengusulan pendirian Yayasan Perguruan Tinggi Teknik (YPTT) di Surabaya oleh dr. Angka pada Lustrum I PII Jawa Timur 10 November 1957. Pada tahun 1960, namanya berubah menjadi Institut Teknologi Sepuluh Nopember (ITS), dan satu tahun kemudian, resmi menjadi Perguruan Tinggi. Perubahan status ini juga disertai penambahan menjadi lima fakultas, yaitu Teknik Sipil, Teknik Mesin, Teknik Kimia, Teknik Elektro, dan Teknik Perkapalan.    Di tahun 2002, ITS terdiri dari lima fakultas dan dua politeknik. Pada 2014, ITS ditetapkan sebagai Perguruan Tinggi Negeri Berbadan Hukum (PTNBH) berdasar Peraturan Pemerintah No. 83 Tahun 2014. ITS mengemban amanah baru yaitu mampu melakukan pengelolaan secara otonom di bidang akademik, norma dan kebijaksanaan operasional serta pelaksanaan organisasi, keuangan, kemahasiswaan, ketenagaan, serta sarana prasarana. Berdasarkan peraturan Rektor ITS No, 25 Tahun 2019 Tentang Organisasi dan Tata Kerja Fakultas di Lingkungan ITS, ITS saat ini memiliki 7 fakultas, 39 departemen, dan 82 program studi.",599528,203619,583.77,198.27,1879521.064,722841.1465,1849.92,711.46,15,35,JAWA TIMUR,264,35.78,KOTA SURABAYA,050000,Prov. Jawa Timur,056008,Kec. Sukolilo
404,001019,Universitas Brawijaya,UB,ID,Universitas,7,,www.ub.ac.id,Jalan Veteran,,637490,268024,310.82,130.68,1875975.3565,770270.0385,3499.95,1437.07,15,35,JAWA TIMUR,259,35.73,KOTA MALANG,050000,Prov. Jawa Timur,056105,Kec. Lowokwaru
8,001027,Universitas Sebelas Maret,UNS,ID,Universitas,,,https://uns.ac.id,Jalan Ir Sutami 36-A Kentingan,,534734,252506,312.71,147.66,1657507.3505,531072.197,919.82,294.71,13,33,JAWA TENGAH,218,33.72,KOTA SURAKARTA,030000,Prov. Jawa Tengah,036104,Kec. Jebres
